name,name_for_emails,site,subtypes,category,type,phone,full_address,state,latitude,longitude,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,range,posts,logo,description,reservation_links,booking_appointment_link,menu_link,order_links,location_link,location_reviews_link,place_id,google_id,cid,reviews_id
Bogey's Indoor Golf,Bogeys Indoor Golf,http://www.bogeysindoorgolfsalem.com/,Indoor golf course,Indoor golf course,Indoor golf course,+1 971-915-2819,"3515 Fairview Industrial Dr SE, Salem, OR 97302",Oregon,44.9047941,-123.0181126,5,21,"https://search.google.com/local/reviews?placeid=ChIJ8UtAKxn5v1QR53i5YPYdYLA&q=indoor+golf+course,+97840,+Oxbow,+OR,+US&authuser=0&hl=en&gl=US","drinks, simulator, bar, venue",,0,0,0,0,21,38,https://lh5.googleusercontent.com/p/AF1QipNX8egrkESfvCScST4fXSIePnZmg0A_4SCeTooO=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jGjaZmKz_b3tnN9gdJD-YQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=130.83926&pitch=0&thumbfov=100,,"{""Sunday"": ""11AM-8PM"", ""Monday"": ""11AM-10PM"", ""Tuesday"": ""11AM-10PM"", ""Wednesday"": ""11AM-10PM"", ""Thursday"": ""11AM-10PM"", ""Friday"": ""11AM-12AM"", ""Saturday"": ""11AM-12AM""}",Sunday:11AM-8PM|Monday:11AM-10PM|Tuesday:11AM-10PM|Wednesday:11AM-10PM|Thursday:11AM-10PM|Friday:11AM-12AM|Saturday:11AM-12AM,,,,https://lh6.googleusercontent.com/-1SnfnzMue2c/AAAAAAAAAAI/AAAAAAAAAAA/9SRMYPCvubc/s44-p-k-no-ns-nd/photo.jpg,"Bogey's Indoor Golf, Salem's premier golf and sports lounge experience for the whole family, opened its doors on July 13, 2024. Nestled conveniently at 3515 Fairview Industrial Drive SE, Bogey's boasts Golden Tee, BullShooter Darts, pinball and state-of-the-art golf simulators, ensuring immersive and enjoyable golf play for all skill levels. With a vibrant sports lounge atmosphere, you're guaranteed a grand time whether you're a seasoned golfer or just looking for a unique entertainment spot. Get ready for the unparalleled golfing journey that awaits you at Bogey's Indoor Golf!",,https://www.bogeysindoorgolfsalem.com/book-online?utm_source=google&utm_medium=book_button&utm_campaign=service_list&hl=en-US&gei=UiysZ7CMBd-ZkdUPlvn1iQM&rwg_token=AAiGsoZC2XE4lg_weztIY9QU05pAaQ4JuT8aW-f-QExjZUxBYEPdWj7ryuI9ZwKnGOrXyybpLvCEk3epektUrl9kpPRo3sSQHw%3D%3D,https://www.bogeysindoorgolfsalem.com/menu,,"https://www.google.com/maps/place/Bogey%27s+Indoor+Golf/@44.9047941,-123.0181126,14z/data=!4m8!1m2!2m1!1sBogey%27s+Indoor+Golf!3m4!1s0x54bff9192b404bf1:0xb0601df660b978e7!8m2!3d44.9047941!4d-123.0181126","https://www.google.com/maps/place/Bogey%27s+Indoor+Golf/@44.9047941,-123.0181126,13.99z/data=!4m16!1m7!3m6!1s0x54bff9192b404bf1:0xb0601df660b978e7!2sBogey%27s+Indoor+Golf!8m2!3d44.9047941!4d-123.0181126!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54bff9192b404bf1:0xb0601df660b978e7!8m2!3d44.9047941!4d-123.0181126!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ8UtAKxn5v1QR53i5YPYdYLA,0x54bff9192b404bf1:0xb0601df660b978e7,12709191092461467879,-5737552981248083737
The Sim House by NWGolfGuys,The Sim House By Nwgolfguys,http://www.thesimhouse.com/,Indoor golf course,Indoor golf course,Indoor golf course,+1 503-780-6836,"2548 NW Upshur St, Portland, OR 97210",Oregon,45.5359787,-122.7040515,4.1,9,"https://search.google.com/local/reviews?placeid=ChIJTbbILL4JlVQR5rBmC7eZg7M&q=sim+golf,+97216,+Portland,+OR,+US&authuser=0&hl=en&gl=US",,,2,0,0,0,7,11,https://lh5.googleusercontent.com/p/AF1QipP0gpB5_s2v5Y3j48NaPeDf0vfwag4Ab_yJo9V3=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OWJQH1ldeR5kZYvUQnb8Kg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=189.3788&pitch=0&thumbfov=100,,"{""Sunday"": ""10AM-6PM"", ""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""10AM-6PM""}",Sunday:10AM-6PM|Monday:10AM-6PM|Tuesday:10AM-6PM|Wednesday:10AM-6PM|Thursday:10AM-6PM|Friday:10AM-6PM|Saturday:10AM-6PM,,,,https://lh3.googleusercontent.com/-YwwvVF6d8cc/AAAAAAAAAAI/AAAAAAAAAAA/ROquHpLagj4/s44-p-k-no-ns-nd/photo.jpg,"This Sim House is an Indoor golf facility built for golfers by golfers. Our two simulator rooms are powered by Foresight Sports GC Hawk technology and are available from 5am-midnight for members. Hourly use passes are also available. Run by NWGolfguys, the largest handicapping club and amateur tournament series in Oregon, Washington and Norcal. We also feature retail, club demos and monthly hosted tournaments. We can't wait to see you at The Sim House!",,http://simhouse.skedda.com/,,http://simhouse.skedda.com/,"https://www.google.com/maps/place/The+Sim+House+by+NWGolfGuys/@45.5359787,-122.70405149999999,14z/data=!4m8!1m2!2m1!1sThe+Sim+House+by+NWGolfGuys!3m4!1s0x549509be2cc8b64d:0xb38399b70b66b0e6!8m2!3d45.5359787!4d-122.70405149999999","https://www.google.com/maps/place/The+Sim+House+by+NWGolfGuys/@45.5359787,-122.70405149999999,13.99z/data=!4m16!1m7!3m6!1s0x549509be2cc8b64d:0xb38399b70b66b0e6!2sThe+Sim+House+by+NWGolfGuys!8m2!3d45.5359787!4d-122.70405149999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x549509be2cc8b64d:0xb38399b70b66b0e6!8m2!3d45.5359787!4d-122.70405149999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJTbbILL4JlVQR5rBmC7eZg7M,0x549509be2cc8b64d:0xb38399b70b66b0e6,12935351566187540710,-5511392507522010906
Cattle Dogs Golf Center,Cattle Dogs Golf Center,https://www.cattledogsgolfcenter.com/,Indoor golf course,Indoor golf course,Indoor golf course,+1 541-530-0348,"1807 NE Diamond Lake Blvd, Roseburg, OR 97471",Oregon,43.2129485,-123.3361261,5,13,"https://search.google.com/local/reviews?placeid=ChIJiSAVOSwjxFQR5SbqLTkWTlw&q=indoor+golf+course,+97536,+Prospect,+OR,+US&authuser=0&hl=en&gl=US",,,0,0,0,0,13,15,https://lh5.googleusercontent.com/p/AF1QipMN2_E2skPECQ7Xu7cat-kn7KnzRb77nlcmY0og=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMN2_E2skPECQ7Xu7cat-kn7KnzRb77nlcmY0og=w1600-h1000-k-no,,"{""Sunday"": ""10AM-8PM"", ""Monday"": ""Closed"", ""Tuesday"": ""12-9PM"", ""Wednesday"": ""12-9PM"", ""Thursday"": ""12-9PM"", ""Friday"": ""12-11PM"", ""Saturday"": ""10AM-11PM""}",Sunday:10AM-8PM|Monday:Closed|Tuesday:12-9PM|Wednesday:12-9PM|Thursday:12-9PM|Friday:12-11PM|Saturday:10AM-11PM,,,,https://lh5.googleusercontent.com/-4qCy4S-33uo/AAAAAAAAAAI/AAAAAAAAAAA/1X4TP6bJF8Y/s44-p-k-no-ns-nd/photo.jpg,,,,,,"https://www.google.com/maps/place/Cattle+Dogs+Golf+Center/@43.212948499999996,-123.3361261,14z/data=!4m8!1m2!2m1!1sCattle+Dogs+Golf+Center!3m4!1s0x54c4232c39152089:0x5c4e16392dea26e5!8m2!3d43.212948499999996!4d-123.3361261","https://www.google.com/maps/place/Cattle+Dogs+Golf+Center/@43.212948499999996,-123.3361261,13.99z/data=!4m16!1m7!3m6!1s0x54c4232c39152089:0x5c4e16392dea26e5!2sCattle+Dogs+Golf+Center!8m2!3d43.212948499999996!4d-123.3361261!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54c4232c39152089:0x5c4e16392dea26e5!8m2!3d43.212948499999996!4d-123.3361261!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJiSAVOSwjxFQR5SbqLTkWTlw,0x54c4232c39152089:0x5c4e16392dea26e5,6651278134512068325,6651278134512068325
Golf Garage,Golf Garage,https://www.golfgarageoregon.com/,Sports club,Sports club,Sports club,+1 541-897-9982,"3336 Grove Rd Suite A, Phoenix, OR 97535",Oregon,42.284574,-122.816151,5,29,"https://search.google.com/local/reviews?placeid=ChIJsYmMVgBxz1QRWjaJbHZrM-4&q=indoor+golf+course,+97536,+Prospect,+OR,+US&authuser=0&hl=en&gl=US",,,0,0,0,0,29,45,https://lh5.googleusercontent.com/p/AF1QipMMODKvnIbfQsUPkhY9rH_SkyWlAQEFZA6kPV2c=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMMODKvnIbfQsUPkhY9rH_SkyWlAQEFZA6kPV2c=w1600-h1000-k-no,,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",Sunday:Open 24 hours|Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours,,,,https://lh3.googleusercontent.com/-C9_wyyXpCn4/AAAAAAAAAAI/AAAAAAAAAAA/_O6Wkt4SQHg/s44-p-k-no-ns-nd/photo.jpg,,,,,,"https://www.google.com/maps/place/Golf+Garage/@42.284574,-122.81615099999999,14z/data=!4m8!1m2!2m1!1sGolf+Garage!3m4!1s0x54cf7100568c89b1:0xee336b766c89365a!8m2!3d42.284574!4d-122.81615099999999","https://www.google.com/maps/place/Golf+Garage/@42.284574,-122.81615099999999,13.99z/data=!4m16!1m7!3m6!1s0x54cf7100568c89b1:0xee336b766c89365a!2sGolf+Garage!8m2!3d42.284574!4d-122.81615099999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54cf7100568c89b1:0xee336b766c89365a!8m2!3d42.284574!4d-122.81615099999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJsYmMVgBxz1QRWjaJbHZrM-4,0x54cf7100568c89b1:0xee336b766c89365a,17164180761210336858,-1282563312499214758
BirdieFinish Golf,Birdiefinish Golf,http://www.birdiefinishgolf.com/,Golf shop,Golf shop,Golf shop,+1 503-518-0085,"14214 Fir St, Oregon City, OR 97045",Oregon,45.3320491,-122.5781453,4.9,34,"https://search.google.com/local/reviews?placeid=ChIJfcHv58twlVQRcWQtS7oJ4-c&q=indoor+golf+course,+97107,+Bay+City,+OR,+US&authuser=0&hl=en&gl=US","simulator, irons, knowledge, swing, indoor golf, combination, lessons",,1,0,0,1,32,6,https://lh5.googleusercontent.com/p/AF1QipNvm2PkbRZfegGw0bcRDnqvyq5Ddk6EGnRcZMOX=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YulXAnaZQycPATdQlvsH2w&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=184.14984&pitch=0&thumbfov=100,Fir Street Business Park,"{""Sunday"": ""10AM-3PM"", ""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""10AM-5PM"", ""Thursday"": ""10AM-5PM"", ""Friday"": ""10AM-5PM"", ""Saturday"": ""10AM-5PM""}",Sunday:10AM-3PM|Monday:Closed|Tuesday:Closed|Wednesday:10AM-5PM|Thursday:10AM-5PM|Friday:10AM-5PM|Saturday:10AM-5PM,,,,https://lh6.googleusercontent.com/-yMXJTIPCkqg/AAAAAAAAAAI/AAAAAAAAAAA/DRP7_uS5SQA/s44-p-k-no-ns-nd/photo.jpg,"Golf club fitting, golf instruction, golf club repairs.

Master golf club fitter. 20 year experience.",,,,,"https://www.google.com/maps/place/BirdieFinish+Golf/@45.3320491,-122.57814529999999,14z/data=!4m8!1m2!2m1!1sBirdieFinish+Golf!3m4!1s0x549570cbe7efc17d:0xe7e309ba4b2d6471!8m2!3d45.3320491!4d-122.57814529999999","https://www.google.com/maps/place/BirdieFinish+Golf/@45.3320491,-122.57814529999999,13.99z/data=!4m16!1m7!3m6!1s0x549570cbe7efc17d:0xe7e309ba4b2d6471!2sBirdieFinish+Golf!8m2!3d45.3320491!4d-122.57814529999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x549570cbe7efc17d:0xe7e309ba4b2d6471!8m2!3d45.3320491!4d-122.57814529999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJfcHv58twlVQRcWQtS7oJ4-c,0x549570cbe7efc17d:0xe7e309ba4b2d6471,16709209738204505201,-1737534335505046415
Portland Indoor Golf Club,Portland Indoor Golf Club,https://www.portlandindoorgolfclub.com/,Golf club,Golf club,Golf club,,"5600 SW Arctic Dr, Beaverton, OR 97005",Oregon,45.4794395,-122.7778777,5,1,"https://search.google.com/local/reviews?placeid=ChIJXch6MnsNlVQRqS74P07Zddc&q=indoor+golf+course,+97240,+Portland,+OR,+US&authuser=0&hl=en&gl=US",,,0,0,0,0,1,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d9VZHjSS_wXuMh2oYjD5ag&cb_client=search.gws-prod.gps&w=800&h=500&yaw=82.39638&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d9VZHjSS_wXuMh2oYjD5ag&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=82.39638&pitch=0&thumbfov=100,,,,,,,https://lh5.googleusercontent.com/-GNgEQqVqONk/AAAAAAAAAAI/AAAAAAAAAAA/4cTwWogik_Y/s44-p-k-no-ns-nd/photo.jpg,,,https://www.mindbodyonline.com/explore/locations/portland-indoor-golf-club?hl=en-US&gei=aSysZ6XPMI3d5OUP_aCC-Ac&rwg_token=AAiGsoYfIShKeo3lYZnpzwoBeTzNwM86r1g3catx2mbPltufTkRTUO6aGwtGsS-wSUZ7Ce8ymrowO6EVsg1Zvf7XFyOTh_tlCg%3D%3D,,,"https://www.google.com/maps/place/Portland+Indoor+Golf+Club/@45.4794395,-122.77787769999999,14z/data=!4m8!1m2!2m1!1sPortland+Indoor+Golf+Club!3m4!1s0x54950d7b327ac85d:0xd775d94e3ff82ea9!8m2!3d45.4794395!4d-122.77787769999999","https://www.google.com/maps/place/Portland+Indoor+Golf+Club/@45.4794395,-122.77787769999999,13.99z/data=!4m16!1m7!3m6!1s0x54950d7b327ac85d:0xd775d94e3ff82ea9!2sPortland+Indoor+Golf+Club!8m2!3d45.4794395!4d-122.77787769999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54950d7b327ac85d:0xd775d94e3ff82ea9!8m2!3d45.4794395!4d-122.77787769999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJXch6MnsNlVQRqS74P07Zddc,0x54950d7b327ac85d:0xd775d94e3ff82ea9,15525554220533558953,-2921189853175992663
X-Golf Tualatin,X Golf Tualatin,https://xgolfpnw.com/,Indoor golf course,Indoor golf course,Indoor golf course,+1 503-855-4104,"7059 SW Nyberg St, Tualatin, OR 97062",Oregon,45.3853958,-122.7502048,4.9,49,"https://search.google.com/local/reviews?placeid=ChIJBSpteVlzlVQREFuqeUaK-Vw&q=indoor+golf+course,+97240,+Portland,+OR,+US&authuser=0&hl=en&gl=US",,,0,1,0,4,44,55,https://lh5.googleusercontent.com/p/AF1QipPboseMfCvQiqcOSg7l3Ssffq0bIpwBBPtqMtRw=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPboseMfCvQiqcOSg7l3Ssffq0bIpwBBPtqMtRw=w1600-h1000-k-no,,"{""Sunday"": ""10AM-8PM"", ""Monday"": ""10AM-10PM"", ""Tuesday"": ""10AM-10PM"", ""Wednesday"": ""10AM-10PM"", ""Thursday"": ""10AM-10PM"", ""Friday"": ""10AM-11PM"", ""Saturday"": ""10AM-11PM""}",Sunday:10AM-8PM|Monday:10AM-10PM|Tuesday:10AM-10PM|Wednesday:10AM-10PM|Thursday:10AM-10PM|Friday:10AM-11PM|Saturday:10AM-11PM,,,,https://lh4.googleusercontent.com/-zkIDSeOuku8/AAAAAAAAAAI/AAAAAAAAAAA/6uOwMdNh46Y/s44-p-k-no-ns-nd/photo.jpg,,,,,,"https://www.google.com/maps/place/X-Golf+Tualatin/@45.3853958,-122.75020479999999,14z/data=!4m8!1m2!2m1!1sX-Golf+Tualatin!3m4!1s0x54957359796d2a05:0x5cf98a4679aa5b10!8m2!3d45.3853958!4d-122.75020479999999","https://www.google.com/maps/place/X-Golf+Tualatin/@45.3853958,-122.75020479999999,13.99z/data=!4m16!1m7!3m6!1s0x54957359796d2a05:0x5cf98a4679aa5b10!2sX-Golf+Tualatin!8m2!3d45.3853958!4d-122.75020479999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54957359796d2a05:0x5cf98a4679aa5b10!8m2!3d45.3853958!4d-122.75020479999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJBSpteVlzlVQREFuqeUaK-Vw,0x54957359796d2a05:0x5cf98a4679aa5b10,6699537955983874832,6699537955983874832
Envision Golf,Envision Golf,https://envisiongolf.com/,"Indoor golf course, Golf instructor, Golf shop, Leagues club, Restaurant, Sports bar",Indoor golf course,Indoor golf course,+1 503-388-9770,"18039 SW Lower Boones Ferry Rd, Tigard, OR 97224",Oregon,45.3918244,-122.7511839,4.8,75,"https://search.google.com/local/reviews?placeid=ChIJS4SdAL5zlVQRwEKRcN5Q24I&q=indoor+golf+course,+97240,+Portland,+OR,+US&authuser=0&hl=en&gl=US",,,2,1,0,3,69,62,https://lh5.googleusercontent.com/p/AF1QipOKHT5B9uawsMzzRoCHBAnsoqG0EGvL6y0V1CAX=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOKHT5B9uawsMzzRoCHBAnsoqG0EGvL6y0V1CAX=w1600-h1000-k-no,,"{""Sunday"": ""10AM-10PM"", ""Monday"": ""10AM-10PM"", ""Tuesday"": ""10AM-10PM"", ""Wednesday"": ""10AM-10PM"", ""Thursday"": ""10AM-10PM"", ""Friday"": ""10AM-11PM"", ""Saturday"": ""10AM-11PM""}",Sunday:10AM-10PM|Monday:10AM-10PM|Tuesday:10AM-10PM|Wednesday:10AM-10PM|Thursday:10AM-10PM|Friday:10AM-11PM|Saturday:10AM-11PM,,,,https://lh5.googleusercontent.com/-1Im81tS60co/AAAAAAAAAAI/AAAAAAAAAAA/CAJQs-tK0ZY/s44-p-k-no-ns-nd/photo.jpg,,,,,,"https://www.google.com/maps/place/Envision+Golf/@45.3918244,-122.7511839,14z/data=!4m8!1m2!2m1!1sEnvision+Golf!3m4!1s0x549573be009d844b:0x82db50de709142c0!8m2!3d45.3918244!4d-122.7511839","https://www.google.com/maps/place/Envision+Golf/@45.3918244,-122.7511839,13.99z/data=!4m16!1m7!3m6!1s0x549573be009d844b:0x82db50de709142c0!2sEnvision+Golf!8m2!3d45.3918244!4d-122.7511839!16s%2Fg%2F11ckvg1dmb!3m7!1s0x549573be009d844b:0x82db50de709142c0!8m2!3d45.3918244!4d-122.7511839!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJS4SdAL5zlVQRwEKRcN5Q24I,0x549573be009d844b:0x82db50de709142c0,9429219161131795136,-9017524912577756480
Launch House,Launch House,http://booking.launchhouse.golf/,Indoor golf course,Indoor golf course,Indoor golf course,+1 971-230-4731,"1960 NE 25th Ave Ste 11, Hillsboro, OR 97124",Oregon,45.5396546,-122.9558117,5,17,"https://search.google.com/local/reviews?placeid=ChIJ9zeONVADlVQR1zM_sSIOgXM&q=indoor+golf+course,+97240,+Portland,+OR,+US&authuser=0&hl=en&gl=US",,,0,0,0,0,17,27,https://lh5.googleusercontent.com/p/AF1QipOB-wx7TfGHMHf_y7-0O0p7dc-bNnpnEymR_Hs=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOB-wx7TfGHMHf_y7-0O0p7dc-bNnpnEymR_Hs=w1600-h1000-k-no,,"{""Sunday"": ""8AM-8PM"", ""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM""}",Sunday:8AM-8PM|Monday:8AM-8PM|Tuesday:8AM-8PM|Wednesday:8AM-8PM|Thursday:8AM-8PM|Friday:8AM-8PM|Saturday:8AM-8PM,,,,https://lh5.googleusercontent.com/-TlLyZCCItM4/AAAAAAAAAAI/AAAAAAAAAAA/5rrXebckp2M/s44-p-k-no-ns-nd/photo.jpg,,,,,,"https://www.google.com/maps/place/Launch+House/@45.5396546,-122.9558117,14z/data=!4m8!1m2!2m1!1sLaunch+House!3m4!1s0x54950350358e37f7:0x73810e22b13f33d7!8m2!3d45.5396546!4d-122.9558117","https://www.google.com/maps/place/Launch+House/@45.5396546,-122.9558117,13.99z/data=!4m16!1m7!3m6!1s0x54950350358e37f7:0x73810e22b13f33d7!2sLaunch+House!8m2!3d45.5396546!4d-122.9558117!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54950350358e37f7:0x73810e22b13f33d7!8m2!3d45.5396546!4d-122.9558117!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ9zeONVADlVQR1zM_sSIOgXM,0x54950350358e37f7:0x73810e22b13f33d7,8322949128522773463,8322949128522773463
X-Golf Beaverton,X Golf Beaverton,http://www.xgolfpnw.com/,"Indoor golf course, Golf club, Golf course, Golf driving range, Golf instructor, Miniature golf course, Private golf course, Public golf course",Indoor golf course,Indoor golf course,+1 503-855-4104,"3805 SW 117th Ave Suite 120, Beaverton, OR 97005",Oregon,45.4919844,-122.7983323,5,3,"https://search.google.com/local/reviews?placeid=ChIJPfvxCcMPlVQRgzo-H-ZzLcs&q=indoor+golf+course,+97240,+Portland,+OR,+US&authuser=0&hl=en&gl=US",,,0,0,0,0,3,6,https://lh5.googleusercontent.com/p/AF1QipMYotB4vaXOYsQxPhw4q-jhGYBzI0DfZRgc61bm=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMYotB4vaXOYsQxPhw4q-jhGYBzI0DfZRgc61bm=w1600-h1000-k-no,,"{""Sunday"": ""9AM-9PM"", ""Monday"": ""10AM-10PM"", ""Tuesday"": ""10AM-10PM"", ""Wednesday"": ""10AM-10PM"", ""Thursday"": ""10AM-11PM"", ""Friday"": ""10AM-11PM"", ""Saturday"": ""9AM-11PM""}",Sunday:9AM-9PM|Monday:10AM-10PM|Tuesday:10AM-10PM|Wednesday:10AM-10PM|Thursday:10AM-11PM|Friday:10AM-11PM|Saturday:9AM-11PM,,,,https://lh4.googleusercontent.com/-eGsa_6J_s7c/AAAAAAAAAAI/AAAAAAAAAAA/cKdPapMNrOU/s44-p-k-no-ns-nd/photo.jpg,,,,,,"https://www.google.com/maps/place/X-Golf+Beaverton/@45.4919844,-122.7983323,14z/data=!4m8!1m2!2m1!1sX-Golf+Beaverton!3m4!1s0x54950fc309f1fb3d:0xcb2d73e61f3e3a83!8m2!3d45.4919844!4d-122.7983323","https://www.google.com/maps/place/X-Golf+Beaverton/@45.4919844,-122.7983323,13.99z/data=!4m16!1m7!3m6!1s0x54950fc309f1fb3d:0xcb2d73e61f3e3a83!2sX-Golf+Beaverton!8m2!3d45.4919844!4d-122.7983323!16s%2Fg%2F11ckvg1dmb!3m7!1s0x54950fc309f1fb3d:0xcb2d73e61f3e3a83!8m2!3d45.4919844!4d-122.7983323!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJPfvxCcMPlVQRgzo-H-ZzLcs,0x54950fc309f1fb3d:0xcb2d73e61f3e3a83,14640485395855194755,-3806258677854356861
